Keyword,Impressions,Average CPC,Average Position,Clicks,Cost,Impressions
hdmi cable hdmi,0,0,0,0,0,0
a movie camera,0,0,0,0,0,0
the movie camera,0,0,0,0,0,0
toner and cartridges,0,0,0,0,0,0
razors shavers,0,0,0,0,0,0
the canon 5d,0,0,0,0,0,0
shavers razors,0,0,0,0,0,0
canon 5d,3289,0.57,1,177.39,100.59,3289
dmc panasonic lumix,0,0,0,0,0,0
the nikon d90,0,0,0,0,0,0
clothing for cheap,29,0.29,1,1.56,0.46,29
i station docking station,26,0.51,1,0.95,0.48,26
pc notebook,453,0.93,1,28.98,27.03,453
a wrinkle in,0,0,0,0,0,0
ink cartridges toner cartridges,0,0,0,0,0,0
canon is cameras,0,0,0,0,0,0
canon cameras,1913,0.53,1,106.02,56.41,1913
photos stock,0,0,0,0,0,0
nikon camera,542,0.51,1,30.98,15.71,542
phones and prices,0,0,0,0,0,0
dvd to dvd recorder,23,0.25,1,0.69,0.18,23
toner print cartridge,0,0,0,0,0,0
hdmi to hdmi cables,248,0.36,1,13.12,4.75,248
blu ray players,2764,0.61,1,167.27,102.01,2764
bluray players,686,0.52,1,44.77,23.36,686
lcd and hd,0,0,0,0,0,0
watch mens watch,0,0,0,0,0,0
hard disk drives external,24,0.2,1,1.38,0.28,24
cannon and camera,0,0,0,0,0,0
used it books,0,0,0,0,0,0
tv samsung led,0,0,0,0,0,0
led tv by samsung,23,0.21,1,1.34,0.28,23
printer ink for,24,1.04,1,1.4,1.45,24
printer with ink,0,0,0,0,0,0
printer and ink,0,0,0,0,0,0
dresses for kids,1615,0.95,1,98.32,93.79,1615
notebook samsung,0,0,0,0,0,0
powershot sx,0,0,0,0,0,0
wedding shoes shoes,0,0,0,0,0,0
the best laptops,23,0.68,1,1.3,0.88,23
shoes wedding,3536,0.72,1,234.4,169.32,3536
dresses maxi,219,4.97,1,11.31,56.23,219
laptop battery for,0,0,0,0,0,0
detector metal metal detector,0,0,0,0,0,0
phone pay as,0,0,0,0,0,0
watches for mens,28,0.43,1,1.69,0.72,28
kinect on xbox 360,0,0,0,0,0,0
kinect for xbox 360,108,0.32,1,6.55,2.07,108
security and camera,0,0,0,0,0,0
camera for security,0,0,0,0,0,0
lcd monitors,475,0.81,1,31.25,25.45,475
duvet and duvet covers,0,0,0,0,0,0
jon bon jovi dead,0,0,0,0,0,0
kardashian christmas card,0,0,0,0,0,0
49ers,161,2.5,1,4.64,11.63,161
steelers,0,0,0,0,0,0
dark knight rises trailer,0,0,0,0,0,0
san francisco 49ers,0,0,0,0,0,0
ben roethlisberger,0,0,0,0,0,0
pittsburgh steelers,0,0,0,0,0,0
snooki,0,0,0,0,0,0
clippers,152,2.5,1,8.19,20.51,152
49ers news,0,0,0,0,0,0
lakers,0,0,0,0,0,0
james harrison,0,0,0,0,0,0
martial law,0,0,0,0,0,0
antonio brown,0,0,0,0,0,0
gpa calculator,0,0,0,0,0,0
johnny knox,0,0,0,0,0,0
yu darvish,0,0,0,0,0,0
kobe bryant,0,0,0,0,0,0
lil kim,0,0,0,0,0,0
justin bieber,2944,0.5,1,142.7,71.68,2944
shakira,0,0,0,0,0,0
eminem,0,0,0,0,0,0
netflix,120318,2.42,1,8038.1,19471.56,120318
youtube videos,16085,0.51,1,599.56,304.24,16085
lady gaga,29505,2.58,1,1556.45,4009.63,29505
kesha,0,0,0,0,0,0
nicki minaj,3930,0.58,1,125.41,72.27,3930
grooveshark,24,2.5,1,0.96,2.41,24
transformers 3,0,0,0,0,0,0
mundial 2010,0,0,0,0,0,0
olympics,6266,2.5,1,268.65,672.77,6266
espn3,102,0.51,1,5.83,2.97,102
fifa 11,133,0.51,1,5.63,2.85,133
randy moss,0,0,0,0,0,0
miami heat,0,0,0,0,0,0
mourinho,0,0,0,0,0,0
wayne rooney,545,2.51,1,18.08,45.29,545
cricket live score,1377,0.5,1,51.89,26.09,1377
david villa,0,0,0,0,0,0
ipad,39080,1.61,1,2182.79,3519.17,39080
iphone 4,34139,1.46,1,2033.14,2972.03,34139
nokia 5530,28,0.51,1,0.82,0.42,28
htc evo 4g,77,0.51,1,4.44,2.24,77
nokia n900,208,0.54,1,9.52,5.14,208
blackberry apps,0,0,0,0,0,0
duracell mygrid,29,0.5,1,1.09,0.55,29
???,0,0,0,0,0,0
otterbox,2277,0.57,1,129.3,74.01,2277
pdanet,29,0.51,1,0.86,0.43,29
masterchef,193,0.5,1,6.51,3.28,193
Ê³¤Ù¥í¥°,0,0,0,0,0,0
cupcakes,20262,0.53,1,1082.63,577.73,20262
jimmy johns,0,0,0,0,0,0
§Ü§Ñ§Ü §Ø§â§Ñ§ä§î §ã§å§ê§Ú,0,0,0,0,0,0
dominos pizza menu,1556,0.53,1,69.05,36.43,1556
tudo gostoso receitas,0,0,0,0,0,0
guacamole recipe,0,0,0,0,0,0
applebees menu,0,0,0,0,0,0
rachel ray,0,0,0,0,0,0
anhembi parque,0,0,0,0,0,0
wm gucken,0,0,0,0,0,0
world cup,157,2.5,1,4.43,11.1,157
bundeskanzleramt,0,0,0,0,0,0
rio branco,0,0,0,0,0,0
mt everest,28,0.51,1,2.61,1.32,28
kew gardens,1002,2.51,1,53.84,135.21,1002
tour eiffel,0,0,0,0,0,0
oxford street,28,0.5,1,0.88,0.44,28
n¨¹rburgring,0,0,0,0,0,0
katy perry,2439,2.5,1,67.82,169.85,2439
selena gomez,0,0,0,0,0,0
kim kardashian,26,2.5,1,1.02,2.55,26
miley cyrus,23,2.5,1,0.63,1.59,23
taylor lautner,0,0,0,0,0,0
megan fox,28,2.5,1,1.89,4.73,28
robert pattinson,139,2.51,1,4.04,10.13,139
haiti,87,0.51,1,4.85,2.45,87
besiktas,0,0,0,0,0,0
chile,0,0,0,0,0,0
earthquake,796,2.5,1,32.35,81,796
j?rg kachelmann,0,0,0,0,0,0
menowin fr?hlich,0,0,0,0,0,0
mobile technology,0,0,0,0,0,0
oil spill,194,2.51,1,9.89,24.77,194
vancouver 2010,0,0,0,0,0,0
apprendimento automatico,0,0,0,0,0,0
§â§Ö§ã§ä§à§â§Ñ§ß §ß§î§ð-§Û§à§â§Ü,0,0,0,0,0,0
§Þ§Ñ§ê§Ú§ß§ß§à§Ö §à§Ò§å§é§Ö§ß§Ú§Ö,0,0,0,0,0,0
beijing apartments,23,2.4,1,1.39,3.34,23
comercio electr¨®nico,0,0,0,0,0,0
st. petersburg restaurants,0,0,0,0,0,0
????? ??????? ??????,0,0,0,0,0,0
energia solare,0,0,0,0,0,0
dubai tours,84,1.66,1,5.6,9.28,84
hcg diet,29,0.5,1,2.13,1.07,29
dr oz,0,0,0,0,0,0
aspergers,1091,2.54,1,59.26,150.51,1091
mcdonalds nutrition,0,0,0,0,0,0
vitamin d deficiency,1257,2.5,1,81.28,203.51,1257
appendicitis symptoms,213,2.5,1,8.42,21.08,213
cholera,0,0,0,0,0,0
nfp,0,0,0,0,0,0
vacina h1n1,0,0,0,0,0,0
whooping cough,168,2.5,1,7.12,17.82,168
donate to haiti,0,0,0,0,0,0
donate to pakistan,26,0.39,1,1.4,0.54,26
text to donate,0,0,0,0,0,0
doctors without borders,26,0.51,1,1.59,0.8,26
download to donate,0,0,0,0,0,0
red cross canada,0,0,0,0,0,0
blood donation restrictions,0,0,0,0,0,0
donate blood australia,0,0,0,0,0,0
donate now button,0,0,0,0,0,0
csl plasma,0,0,0,0,0,0
swine flu,53,2.5,1,3.49,8.75,53
wamu,0,0,0,0,0,0
new moon,0,0,0,0,0,0
mininova,0,0,0,0,0,0
susan boyle,0,0,0,0,0,0
slumdog millionaire,0,0,0,0,0,0
circuit city,0,0,0,0,0,0
myspace layouts,0,0,0,0,0,0
michael jackson,106,0.51,1,5.82,2.94,106
national city bank,0,0,0,0,0,0
chatroulette,2466,0.51,1,90.52,46.62,2466
friv,23,0.51,1,0.72,0.37,23
myxer,0,0,0,0,0,0
twitter,4903,0.54,1,153.34,82.89,4903
gamezer,0,0,0,0,0,0
facebook,2741,5,1,121.6,608.24,2741
insurance,53613,4.46,1,3070.1,13680.59,53613
loans,87586,4.15,1,4766.86,19770.26,87586
mortgage,76293,2.38,1,4301.51,10220.04,76293
attorney,0,0,0,0,0,0
credit,28783,5.36,1,1657.32,8884.04,28783
lawyer,3183,0.81,1,187.43,151.84,3183
donate,2384,1.05,1,151.84,158.7,2384
degree,1691,2.5,1,64.47,161.44,1691
hosting,12187,3.6,1,717.44,2579.81,12187
claim,21959,2.57,1,1368.3,3513.23,21959
conference call,1168,2.32,1,71.57,166.22,1168
trading,7017,1.24,1,419.66,522.05,7017
software,4808,2.64,1,229.6,605.78,4808
recovery,186,2.51,1,10.22,25.61,186
transfer,0,0,0,0,0,0
gas electricity,1205,5.29,1,68.51,362.31,1205
classes,0,0,0,0,0,0
rehab,2362,1.4,1,143.11,201.04,2362
treatment,330,2.5,1,20.34,50.9,330
cord blood,82,1.25,1,4.94,6.2,82
domains yahoo,0,0,0,0,0,0
domain name yahoo,58,0.91,1,4.47,4.09,58
dc hair laser removal washington,0,0,0,0,0,0
law lemon wisconsin,0,0,0,0,0,0
hair removal washington dc,0,0,0,0,0,0
domain registration yahoo,0,0,0,0,0,0
benchmark lending,0,0,0,0,0,0
domain yahoo,0,0,0,0,0,0
yahoo web hosting,0,0,0,0,0,0
hair laser removal virginia,0,0,0,0,0,0
peritoneal mesothelioma,26,2.5,1,1.53,3.83,26
ca lemon law,0,0,0,0,0,0
best buy gift card,0,0,0,0,0,0
adverse credit remortgage,23,1.11,1,1.49,1.66,23
mesothelioma information,28,2.51,1,1.77,4.43,28
law lemon ohio,0,0,0,0,0,0
att call conference,0,0,0,0,0,0
insurance medical temporary,0,0,0,0,0,0
illinois law lemon,0,0,0,0,0,0
mesothelioma symptoms,320,1.77,1,24.17,42.85,320
angeles drug los rehab,0,0,0,0,0,0
personal injury solicitor,217,14.37,1,13.95,200.43,217
att go,0,0,0,0,0,0
accident car florida lawyer,0,0,0,0,0,0
google affiliate,0,0,0,0,0,0
at t wireless,0,0,0,0,0,0
home equity loan,585,1.44,1,34.44,49.59,585
mcsa boot camp,0,0,0,0,0,0
anti spam appliance,0,0,0,0,0,0
adverse remortgage,0,0,0,0,0,0
chicago hair laser removal,0,0,0,0,0,0
att conference,0,0,0,0,0,0
at and t,0,0,0,0,0,0
laser hair removal maryland,0,0,0,0,0,0
mesothelioma,916,2.78,1,56.57,157.15,916
buy gift card,0,0,0,0,0,0
mesotheloma,0,0,0,0,0,0
student loan consolidation program,0,0,0,0,0,0
california law lemon,0,0,0,0,0,0
event management security,0,0,0,0,0,0
canada personals yahoo,0,0,0,0,0,0
orlando criminal attorney,0,0,0,0,0,0
uk homeowner loans,0,0,0,0,0,0
vioxx lawsuit,0,0,0,0,0,0
compare life assurance,83,21.35,1,5.71,121.94,83
criminal defense federal lawyer,0,0,0,0,0,0
american singles,0,0,0,0,0,0
federal criminal defense attorney,0,0,0,0,0,0
laser hair removal manhattan,0,0,0,0,0,0
att prepaid wireless,0,0,0,0,0,0
fortis health insurance temporary,0,0,0,0,0,0
miami personal injury lawyer,0,0,0,0,0,0
hair removal chicago,0,0,0,0,0,0
at and t cell phones,0,0,0,0,0,0
refinance with bad credit,0,0,0,0,0,0
malignant mesothelioma,0,0,0,0,0,0
lease management software,29,0.7,1,1.72,1.21,29
primary pulmonary hypertension,0,0,0,0,0,0
miami personal injury attorney,0,0,0,0,0,0
anti spam lotus notes,0,0,0,0,0,0
life insurance quotes,981,32.17,1,57.45,1848.03,981
egg credit,0,0,0,0,0,0
anti spam exchange server,0,0,0,0,0,0
lemon law,0,0,0,0,0,0
google adsense,23,18.71,1,1.61,30.07,23
best consolidation loan student,0,0,0,0,0,0
refinance with poor credit,0,0,0,0,0,0
employee leasing,0,0,0,0,0,0
student loan consolidation center,0,0,0,0,0,0
buyer mortgage note,0,0,0,0,0,0
federal student loan consolidation,0,0,0,0,0,0
symptoms of mesothelioma,29,0.51,1,1.21,0.62,29
city hair laser new removal york,0,0,0,0,0,0
att wireless com,0,0,0,0,0,0
san diego dui lawyer,0,0,0,0,0,0
indiana law lemon,0,0,0,0,0,0
law lemon michigan,0,0,0,0,0,0
angeles criminal defense los,0,0,0,0,0,0
refinancing with poor credit,0,0,0,0,0,0
action class lawsuit vioxx,0,0,0,0,0,0
term life assurance,57,5.83,1,3.21,18.74,57
e loan,72,0.51,1,3.78,1.92,72
celebrex lawyer,0,0,0,0,0,0
vasectomy reversal,612,2.47,1,33.55,82.71,612
mortgage rates refinancing,0,0,0,0,0,0
attorney law lemon,0,0,0,0,0,0
consolidate student loans,0,0,0,0,0,0
home equity loans,302,1.6,1,17.93,28.77,302
mesothilioma,0,0,0,0,0,0
new york personal injury lawyer,0,0,0,0,0,0
home equity loan rates,266,2.42,1,16.32,39.58,266
auto insurance quotes,15834,17.81,1,1062.14,18912.95,15834
georgia law lemon,0,0,0,0,0,0
homeowner loans,187,4.16,1,10.29,42.78,187
equity loan rates,26,0.34,1,0.87,0.3,26
administration lease software,0,0,0,0,0,0
egg credit card,338,0.58,1,21.57,12.59,338
student consolidation loans,0,0,0,0,0,0
microsoft anti spam,23,7.09,1,1.53,10.87,23
mesothelioma prognosis,57,2.9,1,3.67,10.65,57
second mortgages,0,0,0,0,0,0
auto century insurance,0,0,0,0,0,0
employee florida leasing,0,0,0,0,0,0
federal consolidation loan,0,0,0,0,0,0
equity loan,708,0.61,1,58.17,35.76,708
personal injury attorney colorado,0,0,0,0,0,0
accident lawyer michigan,0,0,0,0,0,0
refinancing with bad credit,0,0,0,0,0,0
home equity line of credit rates,0,0,0,0,0,0
federal consolidation,0,0,0,0,0,0
non profit debt consolidation,0,0,0,0,0,0
pay per click affiliate,28,0.28,1,1.84,0.52,28
city hair new removal york,0,0,0,0,0,0
acid reflux disease diet,0,0,0,0,0,0
refinance poor credit,0,0,0,0,0,0
equity loans,58,0.27,1,4.1,1.09,58
student loan consolidate,0,0,0,0,0,0
consolidate loans,77,12.81,1,5.11,65.44,77
secured loans,823,4.3,1,44.21,190.04,823
criminal lawyer new york,0,0,0,0,0,0
affiliate per click,0,0,0,0,0,0
chicago personal injury lawyer,0,0,0,0,0,0
los angeles dui lawyer,0,0,0,0,0,0
att prepaid,0,0,0,0,0,0
angeles criminal defense lawyer los,0,0,0,0,0,0
critical illness insurance life,0,0,0,0,0,0
irs lawyer tax,0,0,0,0,0,0
laser hair removal new york,0,0,0,0,0,0
comcast high speed,0,0,0,0,0,0
personal yahoo,0,0,0,0,0,0
san diego dui attorney,0,0,0,0,0,0
michigan personal injury,0,0,0,0,0,0
automobile law lemon,0,0,0,0,0,0
cheap insurance life term,86,8.73,1,5.65,49.35,86
home loans refinancing,0,0,0,0,0,0
consolidate college loans,0,0,0,0,0,0
cheap life insurance,945,15.94,1,56.06,893.62,945
vioxx law suit,0,0,0,0,0,0
student loan refinance,0,0,0,0,0,0
car hire alicante spain,245,40.31,1,13.75,554.4,245
tax attorney,0,0,0,0,0,0
refinancing my home,0,0,0,0,0,0
criminal dallas lawyer,0,0,0,0,0,0
line of credit home equity,0,0,0,0,0,0
litigation vioxx,0,0,0,0,0,0
at and t phones,0,0,0,0,0,0
criminal defense attorney los angeles,0,0,0,0,0,0
commodity online trading,26,32.47,1,1.44,46.71,26
home equity rates,0,0,0,0,0,0
adsense,71,12.73,1,4.82,61.38,71
law lemon mass,0,0,0,0,0,0
equity home,191,1.29,1,11.38,14.72,191
arizona law lemon,0,0,0,0,0,0
child molestation attorney,0,0,0,0,0,0
home line of credit,0,0,0,0,0,0
alicante car rental spain,0,0,0,0,0,0
attorney defense federal,0,0,0,0,0,0
san diego criminal attorney,0,0,0,0,0,0
injury lawyer new york,0,0,0,0,0,0
attorney injury new personal york,0,0,0,0,0,0
at and t mobile,0,0,0,0,0,0
pleural mesothelioma,24,2.5,1,0.93,2.34,24
augmentation breast diego san,0,0,0,0,0,0
home equity poor credit,0,0,0,0,0,0
health insurance temporary,0,0,0,0,0,0
compensation mesothelioma,0,0,0,0,0,0
21st century insurance,0,0,0,0,0,0
cheap insurance medical,0,0,0,0,0,0
angeles criminal lawyer los,0,0,0,0,0,0
low cost term life insurance,0,0,0,0,0,0
home refinance loans,349,6.53,1,16.56,108.18,349
eloan,0,0,0,0,0,0
life insurance quote,965,4.68,1,62.03,290.48,965
cheap life assurance,0,0,0,0,0,0
anti spam exchange,0,0,0,0,0,0
credit equity home line,0,0,0,0,0,0
att go phone,0,0,0,0,0,0
dui florida lawyer,0,0,0,0,0,0
hair removal new york,0,0,0,0,0,0
merchant account international,0,0,0,0,0,0
vioxx class action,0,0,0,0,0,0
life insurance quote online,185,12.36,1,12.67,156.55,185
consolidation loan,1358,6.4,1,86.44,553.14,1358
equity line of credit,0,0,0,0,0,0
carolina law lemon north,0,0,0,0,0,0
equity rates,0,0,0,0,0,0
direct home insurance line,0,0,0,0,0,0
angeles attorney los tax,0,0,0,0,0,0
credit home line,0,0,0,0,0,0
term insurance,1175,6.56,1,72.87,477.88,1175
auto insurances,24,15.4,1,1.34,20.57,24
debtfreedirect,53,46.65,1,3.2,149.32,53
refinance comparison,0,0,0,0,0,0
acid reflux treatment,448,0.59,1,30.95,18.35,448
bad credit mortgage refinance,0,0,0,0,0,0
college loan refinance,0,0,0,0,0,0
